101, 0, 0, Bask, Pyr, GABA
102, 0, 0, Bask, Pyr, GABA
103, 0, 0, Bask, Pyr, GABA
104, 0, 0, Bask, Pyr, GABA
105, 0, 0, Bask, Pyr, GABA
106, 0, 0, Bask, Pyr, GABA
107, 0, 0, Bask, Pyr, GABA
108, 0, 0, Bask, Pyr, GABA
109, 0, 0, Bask, Pyr, GABA
110, 0, 0, Bask, Pyr, GABA
111, 0, 0, Bask, Pyr, GABA
112, 0, 0, Bask, Pyr, GABA
113, 0, 0, Bask, Pyr, GABA
114, 0, 0, Bask, Pyr, GABA
115, 0, 0, Bask, Pyr, GABA
116, 0, 0, Bask, Pyr, GABA
117, 0, 0, Bask, Pyr, GABA
118, 0, 0, Bask, Pyr, GABA
119, 0, 0, Bask, Pyr, GABA
120, 0, 0, Bask, Pyr, GABA
101, 1, 0, Bask, Pyr, GABA
102, 1, 0, Bask, Pyr, GABA
103, 1, 0, Bask, Pyr, GABA
104, 1, 0, Bask, Pyr, GABA
105, 1, 0, Bask, Pyr, GABA
106, 1, 0, Bask, Pyr, GABA
107, 1, 0, Bask, Pyr, GABA
108, 1, 0, Bask, Pyr, GABA
109, 1, 0, Bask, Pyr, GABA
110, 1, 0, Bask, Pyr, GABA
111, 1, 0, Bask, Pyr, GABA
112, 1, 0, Bask, Pyr, GABA
113, 1, 0, Bask, Pyr, GABA
114, 1, 0, Bask, Pyr, GABA
115, 1, 0, Bask, Pyr, GABA
116, 1, 0, Bask, Pyr, GABA
117, 1, 0, Bask, Pyr, GABA
118, 1, 0, Bask, Pyr, GABA
119, 1, 0, Bask, Pyr, GABA
120, 1, 0, Bask, Pyr, GABA
101, 2, 0, Bask, Pyr, GABA
102, 2, 0, Bask, Pyr, GABA
103, 2, 0, Bask, Pyr, GABA
104, 2, 0, Bask, Pyr, GABA
105, 2, 0, Bask, Pyr, GABA
106, 2, 0, Bask, Pyr, GABA
107, 2, 0, Bask, Pyr, GABA
108, 2, 0, Bask, Pyr, GABA
109, 2, 0, Bask, Pyr, GABA
110, 2, 0, Bask, Pyr, GABA
111, 2, 0, Bask, Pyr, GABA
112, 2, 0, Bask, Pyr, GABA
113, 2, 0, Bask, Pyr, GABA
114, 2, 0, Bask, Pyr, GABA
115, 2, 0, Bask, Pyr, GABA
116, 2, 0, Bask, Pyr, GABA
117, 2, 0, Bask, Pyr, GABA
118, 2, 0, Bask, Pyr, GABA
119, 2, 0, Bask, Pyr, GABA
120, 2, 0, Bask, Pyr, GABA
101, 3, 0, Bask, Pyr, GABA
102, 3, 0, Bask, Pyr, GABA
103, 3, 0, Bask, Pyr, GABA
104, 3, 0, Bask, Pyr, GABA
105, 3, 0, Bask, Pyr, GABA
106, 3, 0, Bask, Pyr, GABA
107, 3, 0, Bask, Pyr, GABA
108, 3, 0, Bask, Pyr, GABA
109, 3, 0, Bask, Pyr, GABA
110, 3, 0, Bask, Pyr, GABA
111, 3, 0, Bask, Pyr, GABA
112, 3, 0, Bask, Pyr, GABA
113, 3, 0, Bask, Pyr, GABA
114, 3, 0, Bask, Pyr, GABA
115, 3, 0, Bask, Pyr, GABA
116, 3, 0, Bask, Pyr, GABA
117, 3, 0, Bask, Pyr, GABA
118, 3, 0, Bask, Pyr, GABA
119, 3, 0, Bask, Pyr, GABA
120, 3, 0, Bask, Pyr, GABA
101, 4, 0, Bask, Pyr, GABA
102, 4, 0, Bask, Pyr, GABA
103, 4, 0, Bask, Pyr, GABA
104, 4, 0, Bask, Pyr, GABA
105, 4, 0, Bask, Pyr, GABA
106, 4, 0, Bask, Pyr, GABA
107, 4, 0, Bask, Pyr, GABA
108, 4, 0, Bask, Pyr, GABA
109, 4, 0, Bask, Pyr, GABA
110, 4, 0, Bask, Pyr, GABA
111, 4, 0, Bask, Pyr, GABA
112, 4, 0, Bask, Pyr, GABA
113, 4, 0, Bask, Pyr, GABA
114, 4, 0, Bask, Pyr, GABA
115, 4, 0, Bask, Pyr, GABA
116, 4, 0, Bask, Pyr, GABA
117, 4, 0, Bask, Pyr, GABA
118, 4, 0, Bask, Pyr, GABA
119, 4, 0, Bask, Pyr, GABA
120, 4, 0, Bask, Pyr, GABA
101, 5, 0, Bask, Pyr, GABA
102, 5, 0, Bask, Pyr, GABA
103, 5, 0, Bask, Pyr, GABA
104, 5, 0, Bask, Pyr, GABA
105, 5, 0, Bask, Pyr, GABA
106, 5, 0, Bask, Pyr, GABA
107, 5, 0, Bask, Pyr, GABA
108, 5, 0, Bask, Pyr, GABA
109, 5, 0, Bask, Pyr, GABA
110, 5, 0, Bask, Pyr, GABA
111, 5, 0, Bask, Pyr, GABA
112, 5, 0, Bask, Pyr, GABA
113, 5, 0, Bask, Pyr, GABA
114, 5, 0, Bask, Pyr, GABA
115, 5, 0, Bask, Pyr, GABA
116, 5, 0, Bask, Pyr, GABA
117, 5, 0, Bask, Pyr, GABA
118, 5, 0, Bask, Pyr, GABA
119, 5, 0, Bask, Pyr, GABA
120, 5, 0, Bask, Pyr, GABA
101, 6, 0, Bask, Pyr, GABA
102, 6, 0, Bask, Pyr, GABA
103, 6, 0, Bask, Pyr, GABA
104, 6, 0, Bask, Pyr, GABA
105, 6, 0, Bask, Pyr, GABA
106, 6, 0, Bask, Pyr, GABA
107, 6, 0, Bask, Pyr, GABA
108, 6, 0, Bask, Pyr, GABA
109, 6, 0, Bask, Pyr, GABA
110, 6, 0, Bask, Pyr, GABA
111, 6, 0, Bask, Pyr, GABA
112, 6, 0, Bask, Pyr, GABA
113, 6, 0, Bask, Pyr, GABA
114, 6, 0, Bask, Pyr, GABA
115, 6, 0, Bask, Pyr, GABA
116, 6, 0, Bask, Pyr, GABA
117, 6, 0, Bask, Pyr, GABA
118, 6, 0, Bask, Pyr, GABA
119, 6, 0, Bask, Pyr, GABA
120, 6, 0, Bask, Pyr, GABA
101, 7, 0, Bask, Pyr, GABA
102, 7, 0, Bask, Pyr, GABA
103, 7, 0, Bask, Pyr, GABA
104, 7, 0, Bask, Pyr, GABA
105, 7, 0, Bask, Pyr, GABA
106, 7, 0, Bask, Pyr, GABA
107, 7, 0, Bask, Pyr, GABA
108, 7, 0, Bask, Pyr, GABA
109, 7, 0, Bask, Pyr, GABA
110, 7, 0, Bask, Pyr, GABA
111, 7, 0, Bask, Pyr, GABA
112, 7, 0, Bask, Pyr, GABA
113, 7, 0, Bask, Pyr, GABA
114, 7, 0, Bask, Pyr, GABA
115, 7, 0, Bask, Pyr, GABA
116, 7, 0, Bask, Pyr, GABA
117, 7, 0, Bask, Pyr, GABA
118, 7, 0, Bask, Pyr, GABA
119, 7, 0, Bask, Pyr, GABA
120, 7, 0, Bask, Pyr, GABA
101, 8, 0, Bask, Pyr, GABA
102, 8, 0, Bask, Pyr, GABA
103, 8, 0, Bask, Pyr, GABA
104, 8, 0, Bask, Pyr, GABA
105, 8, 0, Bask, Pyr, GABA
106, 8, 0, Bask, Pyr, GABA
107, 8, 0, Bask, Pyr, GABA
108, 8, 0, Bask, Pyr, GABA
109, 8, 0, Bask, Pyr, GABA
110, 8, 0, Bask, Pyr, GABA
111, 8, 0, Bask, Pyr, GABA
112, 8, 0, Bask, Pyr, GABA
113, 8, 0, Bask, Pyr, GABA
114, 8, 0, Bask, Pyr, GABA
115, 8, 0, Bask, Pyr, GABA
116, 8, 0, Bask, Pyr, GABA
117, 8, 0, Bask, Pyr, GABA
118, 8, 0, Bask, Pyr, GABA
119, 8, 0, Bask, Pyr, GABA
